step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.94889,0.96563,0.8084,0.30461,0.09767,0.68423,0.44015,0.12204
1,,0.44889,0.46563,0.3084,-0.19539,-0.40233,0.18423,-0.05985,-0.37796
2,5,0.24889,0.29463,0.2084,-0.22439,0.59767,0.15523,-0.15985,-0.54896
3,5,0.04889,0.12363,0.1084,-0.25339,1.0,0.12623,-0.25985,-0.71996
4,8,0.01989,0.02363,-0.0626,-0.45339,0.829,0.02623,-0.28885,0.28004
5,8,-0.00911,-0.07637,-0.2336,-0.65339,0.658,-0.07377,-0.31785,1.0
6,4,-0.18011,-0.17637,-0.2626,0.34661,0.629,-0.17377,-0.48885,0.8
7,4,-0.35111,-0.27637,-0.2916,1.0,0.6,-0.27377,-0.65985,0.6
8,7,-0.45111,-0.44737,-0.4916,0.829,0.5,-0.30277,0.34015,0.571
9,7,-0.55111,-0.61837,-0.6916,0.658,0.4,-0.33177,1.0,0.542
10,3,-0.65111,-0.64737,0.3084,0.629,0.3,-0.50277,0.8,0.371
11,3,-0.75111,-0.67637,1.0,0.6,0.2,-0.67377,0.6,0.2
12,1,0.24889,-0.70537,0.9,0.429,0.0,-0.84477,0.5,0.171
13,1,1.0,-0.73437,0.8,0.258,-0.2,-1.0,0.4,0.142
14,6,0.829,-0.93437,0.629,0.158,-0.229,0.0,0.371,0.042
15,6,0.658,-1.0,0.458,0.058,-0.258,1.0,0.342,-0.058
16,2,0.629,0.0,0.429,-0.042,-0.429,0.8,0.171,-0.158
17,2,0.6,1.0,0.4,-0.142,-0.6,0.6,0.0,-0.258
18,5,0.4,0.829,0.3,-0.171,0.4,0.571,-0.1,-0.429
19,5,0.2,0.658,0.2,-0.2,1.0,0.542,-0.2,-0.6
20,8,0.171,0.558,0.029,-0.4,0.829,0.442,-0.229,0.4
21,8,0.142,0.458,-0.142,-0.6,0.658,0.342,-0.258,1.0
22,4,-0.029,0.358,-0.171,0.4,0.629,0.242,-0.429,0.8
23,4,-0.2,0.258,-0.2,1.0,0.6,0.142,-0.6,0.6
24,7,-0.3,0.087,-0.4,0.829,0.5,0.113,0.4,0.571
25,7,-0.4,-0.084,-0.6,0.658,0.4,0.084,1.0,0.542
26,3,-0.5,-0.113,0.4,0.629,0.3,-0.087,0.8,0.371
27,3,-0.6,-0.142,1.0,0.6,0.2,-0.258,0.6,0.2
28,1,0.4,-0.171,0.9,0.429,0.0,-0.429,0.5,0.171
29,1,1.0,-0.2,0.8,0.258,-0.2,-0.6,0.4,0.142
30,6,0.829,-0.4,0.629,0.158,-0.229,0.4,0.371,0.042
31,6,0.658,-0.6,0.458,0.058,-0.258,1.0,0.342,-0.058
32,2,0.629,0.4,0.429,-0.042,-0.429,0.8,0.171,-0.158
33,2,0.6,1.0,0.4,-0.142,-0.6,0.6,0.0,-0.258
34,5,0.4,0.829,0.3,-0.171,0.4,0.571,-0.1,-0.429
35,5,0.2,0.658,0.2,-0.2,1.0,0.542,-0.2,-0.6
36,8,0.171,0.558,0.029,-0.4,0.829,0.442,-0.229,0.4
37,8,0.142,0.458,-0.142,-0.6,0.658,0.342,-0.258,1.0
38,4,-0.029,0.358,-0.171,0.4,0.629,0.242,-0.429,0.8
39,4,-0.2,0.258,-0.2,1.0,0.6,0.142,-0.6,0.6
40,7,-0.3,0.087,-0.4,0.829,0.5,0.113,0.4,0.571
41,7,-0.4,-0.084,-0.6,0.658,0.4,0.084,1.0,0.542
42,3,-0.5,-0.113,0.4,0.629,0.3,-0.087,0.8,0.371
43,3,-0.6,-0.142,1.0,0.6,0.2,-0.258,0.6,0.2
44,1,0.4,-0.171,0.9,0.429,0.0,-0.429,0.5,0.171
45,1,1.0,-0.2,0.8,0.258,-0.2,-0.6,0.4,0.142
46,6,0.829,-0.4,0.629,0.158,-0.229,0.4,0.371,0.042
47,6,0.658,-0.6,0.458,0.058,-0.258,1.0,0.342,-0.058
48,2,0.629,0.4,0.429,-0.042,-0.429,0.8,0.171,-0.158
49,2,0.6,1.0,0.4,-0.142,-0.6,0.6,0.0,-0.258
