step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.04205,0.07847,0.06394,0.0805,0.09032,0.06173,0.09805,0.06081
1,,-0.10795,-0.07153,-0.08606,-0.0695,-0.05968,-0.08827,-0.05195,-0.08919
2,1,0.89205,-0.15053,-0.23606,-0.2905,-0.30968,-0.30927,-0.20195,-0.16819
3,1,1.0,-0.22953,-0.38606,-0.5115,-0.55968,-0.53027,-0.35195,-0.24719
4,5,0.75,-0.45053,-0.53606,-0.5905,0.44032,-0.60927,-0.50195,-0.46819
5,5,0.5,-0.67153,-0.68606,-0.6695,1.0,-0.68827,-0.65195,-0.68919
6,8,0.421,-0.82153,-0.90706,-0.9195,0.779,-0.83827,-0.73095,0.31081
7,8,0.342,-0.97153,-1.0,-1.0,0.558,-0.98827,-0.80995,1.0
8,4,0.121,-1.0,-1.0,0.0,0.479,-1.0,-1.0,0.75
9,4,-0.1,-1.0,-1.0,1.0,0.4,-1.0,-1.0,0.5
10,3,-0.25,-1.0,0.0,0.921,0.25,-1.0,-1.0,0.279
11,3,-0.4,-1.0,1.0,0.842,0.1,-1.0,-1.0,0.058
12,7,-0.55,-1.0,0.75,0.621,-0.05,-1.0,0.0,-0.021
13,7,-0.7,-1.0,0.5,0.4,-0.2,-1.0,1.0,-0.1
14,2,-0.779,0.0,0.421,0.25,-0.421,-1.0,0.779,-0.25
15,2,-0.858,1.0,0.342,0.1,-0.642,-1.0,0.558,-0.4
16,6,-1.0,0.75,0.121,-0.05,-0.721,0.0,0.479,-0.55
17,6,-1.0,0.5,-0.1,-0.2,-0.8,1.0,0.4,-0.7
18,1,0.0,0.421,-0.25,-0.421,-1.0,0.779,0.25,-0.779
19,1,1.0,0.342,-0.4,-0.642,-1.0,0.558,0.1,-0.858
20,5,0.75,0.121,-0.55,-0.721,0.0,0.479,-0.05,-1.0
21,5,0.5,-0.1,-0.7,-0.8,1.0,0.4,-0.2,-1.0
22,8,0.421,-0.25,-0.921,-1.0,0.779,0.25,-0.279,0.0
23,8,0.342,-0.4,-1.0,-1.0,0.558,0.1,-0.358,1.0
24,3,0.192,-0.479,0.0,-1.0,0.408,-0.121,-0.608,0.779
25,3,0.042,-0.558,1.0,-1.0,0.258,-0.342,-0.858,0.558
26,4,-0.179,-0.708,0.921,0.0,0.179,-0.492,-1.0,0.308
27,4,-0.4,-0.858,0.842,1.0,0.1,-0.642,-1.0,0.058
28,7,-0.55,-1.0,0.592,0.779,-0.05,-0.721,0.0,-0.021
29,7,-0.7,-1.0,0.342,0.558,-0.2,-0.8,1.0,-0.1
30,2,-0.779,0.0,0.263,0.408,-0.421,-1.0,0.779,-0.25
31,2,-0.858,1.0,0.184,0.258,-0.642,-1.0,0.558,-0.4
32,6,-1.0,0.75,-0.037,0.108,-0.721,0.0,0.479,-0.55
33,6,-1.0,0.5,-0.258,-0.042,-0.8,1.0,0.4,-0.7
34,1,0.0,0.421,-0.408,-0.263,-1.0,0.779,0.25,-0.779
35,1,1.0,0.342,-0.558,-0.484,-1.0,0.558,0.1,-0.858
36,5,0.75,0.121,-0.708,-0.563,0.0,0.479,-0.05,-1.0
37,5,0.5,-0.1,-0.858,-0.642,1.0,0.4,-0.2,-1.0
38,8,0.421,-0.25,-1.0,-0.892,0.779,0.25,-0.279,0.0
39,8,0.342,-0.4,-1.0,-1.0,0.558,0.1,-0.358,1.0
40,3,0.192,-0.479,0.0,-1.0,0.408,-0.121,-0.608,0.779
41,3,0.042,-0.558,1.0,-1.0,0.258,-0.342,-0.858,0.558
42,4,-0.179,-0.708,0.921,0.0,0.179,-0.492,-1.0,0.308
43,4,-0.4,-0.858,0.842,1.0,0.1,-0.642,-1.0,0.058
44,7,-0.55,-1.0,0.592,0.779,-0.05,-0.721,0.0,-0.021
45,7,-0.7,-1.0,0.342,0.558,-0.2,-0.8,1.0,-0.1
46,2,-0.779,0.0,0.263,0.408,-0.421,-1.0,0.779,-0.25
47,2,-0.858,1.0,0.184,0.258,-0.642,-1.0,0.558,-0.4
48,6,-1.0,0.75,-0.037,0.108,-0.721,0.0,0.479,-0.55
49,6,-1.0,0.5,-0.258,-0.042,-0.8,1.0,0.4,-0.7
50,1,0.0,0.421,-0.408,-0.263,-1.0,0.779,0.25,-0.779
51,1,1.0,0.342,-0.558,-0.484,-1.0,0.558,0.1,-0.858
52,5,0.75,0.121,-0.708,-0.563,0.0,0.479,-0.05,-1.0
53,5,0.5,-0.1,-0.858,-0.642,1.0,0.4,-0.2,-1.0
54,8,0.421,-0.25,-1.0,-0.892,0.779,0.25,-0.279,0.0
55,8,0.342,-0.4,-1.0,-1.0,0.558,0.1,-0.358,1.0
56,4,0.121,-0.55,-1.0,0.0,0.479,-0.05,-0.579,0.75
57,4,-0.1,-0.7,-1.0,1.0,0.4,-0.2,-0.8,0.5
58,3,-0.25,-0.779,0.0,0.921,0.25,-0.421,-1.0,0.279
59,3,-0.4,-0.858,1.0,0.842,0.1,-0.642,-1.0,0.058
60,7,-0.55,-1.0,0.75,0.621,-0.05,-0.721,0.0,-0.021
61,7,-0.7,-1.0,0.5,0.4,-0.2,-0.8,1.0,-0.1
62,2,-0.779,0.0,0.421,0.25,-0.421,-1.0,0.779,-0.25
63,2,-0.858,1.0,0.342,0.1,-0.642,-1.0,0.558,-0.4
64,6,-1.0,0.75,0.121,-0.05,-0.721,0.0,0.479,-0.55
65,6,-1.0,0.5,-0.1,-0.2,-0.8,1.0,0.4,-0.7
66,1,0.0,0.421,-0.25,-0.421,-1.0,0.779,0.25,-0.779
67,1,1.0,0.342,-0.4,-0.642,-1.0,0.558,0.1,-0.858
68,5,0.75,0.121,-0.55,-0.721,0.0,0.479,-0.05,-1.0
69,5,0.5,-0.1,-0.7,-0.8,1.0,0.4,-0.2,-1.0
70,8,0.421,-0.25,-0.921,-1.0,0.779,0.25,-0.279,0.0
71,8,0.342,-0.4,-1.0,-1.0,0.558,0.1,-0.358,1.0
72,4,0.121,-0.55,-1.0,0.0,0.479,-0.05,-0.579,0.75
73,4,-0.1,-0.7,-1.0,1.0,0.4,-0.2,-0.8,0.5
74,3,-0.25,-0.779,0.0,0.921,0.25,-0.421,-1.0,0.279
75,3,-0.4,-0.858,1.0,0.842,0.1,-0.642,-1.0,0.058
76,7,-0.55,-1.0,0.75,0.621,-0.05,-0.721,0.0,-0.021
77,7,-0.7,-1.0,0.5,0.4,-0.2,-0.8,1.0,-0.1
78,2,-0.779,0.0,0.421,0.25,-0.421,-1.0,0.779,-0.25
79,2,-0.858,1.0,0.342,0.1,-0.642,-1.0,0.558,-0.4
80,6,-1.0,0.75,0.121,-0.05,-0.721,0.0,0.479,-0.55
81,6,-1.0,0.5,-0.1,-0.2,-0.8,1.0,0.4,-0.7
82,1,0.0,0.421,-0.25,-0.421,-1.0,0.779,0.25,-0.779
83,1,1.0,0.342,-0.4,-0.642,-1.0,0.558,0.1,-0.858
84,5,0.75,0.121,-0.55,-0.721,0.0,0.479,-0.05,-1.0
85,5,0.5,-0.1,-0.7,-0.8,1.0,0.4,-0.2,-1.0
86,8,0.421,-0.25,-0.921,-1.0,0.779,0.25,-0.279,0.0
87,8,0.342,-0.4,-1.0,-1.0,0.558,0.1,-0.358,1.0
88,3,0.192,-0.479,0.0,-1.0,0.408,-0.121,-0.608,0.779
89,3,0.042,-0.558,1.0,-1.0,0.258,-0.342,-0.858,0.558
90,4,-0.179,-0.708,0.921,0.0,0.179,-0.492,-1.0,0.308
91,4,-0.4,-0.858,0.842,1.0,0.1,-0.642,-1.0,0.058
