,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,-25,17,-82,2366,-559,-929,-781
m2,25,0,-17,15,37,-73,-4,13
m3,-17,17,0,-14,-3,13,-22,25
m4,82,-15,14,0,-1,-7,-14,-59
m5,-2366,-37,3,1,0,645,1092,669
m6,559,73,-13,7,-645,0,288,-282
m7,929,4,22,14,-1092,-288,0,410
m8,781,-13,-25,59,-669,282,-410,0
