,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,-641,-1001,-590,2448,-72,-3,-135
m2,641,0,40,-113,-635,-75,-5,145
m3,1001,-40,0,-223,-819,-7,33,45
m4,590,113,223,0,-902,-14,-9,-10
m5,-2448,635,819,902,0,70,12,24
m6,72,75,7,14,-70,0,-11,-86
m7,3,5,-33,9,-12,11,0,18
m8,135,-145,-45,10,-24,86,-18,0
