,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,-517,-540,-34,2123,-49,-686,-306
m2,517,0,99,26,-572,-39,-89,63
m3,540,-99,0,-25,-533,5,125,-23
m4,34,-26,25,0,1,94,-7,-121
m5,-2123,572,533,-1,0,-11,415,639
m6,49,39,-5,-94,11,0,0,0
m7,686,89,-125,7,-415,0,0,-240
m8,306,-63,23,121,-639,0,240,0
