,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,861,-1514,-34,2308,-49,-2568,993
m2,-861,0,846,26,-161,-39,-99,276
m3,1514,-846,0,-25,-1345,5,1182,-509
m4,34,-26,25,0,1,94,-7,-121
m5,-2308,161,1345,-1,0,-11,539,397
m6,49,39,-5,-94,11,0,0,0
m7,2568,99,-1182,7,-539,0,0,-990
m8,-993,-276,509,121,-397,0,990,0
