,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,-225,31,15,208,-4,-9,-22
m2,225,0,201,-97,-389,164,6,-97
m3,-31,-201,0,196,163,-96,-18,-19
m4,-15,97,-196,0,-87,52,5,151
m5,-208,389,-163,87,0,-92,12,-33
m6,4,-164,96,-52,92,0,3,23
m7,9,-6,18,-5,-12,-3,0,-2
m8,22,97,19,-151,33,-23,2,0
