,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,3,-22,1009,-359,-525,-1360,1254
m2,-3,0,-16,-10,-7,37,-10,9
m3,22,16,0,-52,22,2,19,-29
m4,-1009,10,52,0,448,1398,1274,-2175
m5,359,7,-22,-448,0,-630,-1217,1950
m6,525,-37,-2,-1398,630,0,962,-677
m7,1360,10,-19,-1274,1217,-962,0,-326
m8,-1254,-9,29,2175,-1950,677,326,0
