,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,-34,-2,-410,-3616,1099,959,2012
m2,34,0,-11,31,1,-60,14,-9
m3,2,11,0,20,75,-125,8,9
m4,410,-31,-20,0,1741,403,406,-2913
m5,3616,-1,-75,-1741,0,-718,-1450,371
m6,-1099,60,125,-403,718,0,391,199
m7,-959,-14,-8,-406,1450,-391,0,337
m8,-2012,9,-9,2913,-371,-199,-337,0
