,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,139,-92,-10,674,1371,-1659,-429
m2,-139,0,17,15,-479,-1367,793,1161
m3,92,-17,0,7,-15,11,-65,-13
m4,10,-15,-7,0,23,14,-28,4
m5,-674,479,15,-23,0,578,-667,286
m6,-1371,1367,-11,-14,-578,0,187,420
m7,1659,-793,65,28,667,-187,0,-1426
m8,429,-1161,13,-4,-286,-420,1426,0
