,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,-17,15,393,-1349,486,492,-18
m2,17,0,20,4,54,-7,2,-90
m3,-15,-20,0,125,626,5,-743,19
m4,-393,-4,-125,0,290,29,181,15
m5,1349,-54,-626,-290,0,-233,-193,59
m6,-486,7,-5,-29,233,0,273,2
m7,-492,-2,743,-181,193,-273,0,14
m8,18,90,-19,-15,-59,-2,-14,0
