,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,2305,1578,1553,-4713,-739,12,18
m2,-2305,0,-421,-527,-584,3858,-11,-23
m3,-1578,421,0,-222,1803,-434,-5,4
m4,-1553,527,222,0,1366,-615,17,38
m5,4713,584,-1803,-1366,0,-2052,-20,-52
m6,739,-3858,434,615,2052,0,11,11
m7,-12,11,5,-17,20,-11,0,4
m8,-18,23,-4,-38,52,-11,-4,0
