,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,-2372,983,53,2965,-3,18,-1642
m2,2372,0,-499,-33,-343,-10,-487,-1002
m3,-983,499,0,36,-555,36,-49,1014
m4,-53,33,-36,0,27,-1,22,9
m5,-2965,343,555,-27,0,-8,1128,982
m6,3,10,-36,1,8,0,23,-9
m7,-18,487,49,-22,-1128,-23,0,653
m8,1642,1002,-1014,-9,-982,9,-653,0
