,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,-31441,-158,-12,2589,-24638,27866,25726
m2,31441,0,44,1,25354,-737,-28232,-27876
m3,158,-44,0,15,-17,0,-127,16
m4,12,-1,-15,0,-7,20,3,-12
m5,-2589,-25354,17,7,0,-28793,26983,29737
m6,24638,737,0,-20,28793,0,-26150,-27997
m7,-27866,28232,127,-3,-26983,26150,0,385
m8,-25726,27876,-16,12,-29737,27997,-385,0
