,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,16,-929,1244,772,-28,-30,-1041
m2,-16,0,654,279,-421,39,6,-548
m3,929,-654,0,342,-58,13,47,-625
m4,-1244,-279,-342,0,-1477,-24,-6,3369
m5,-772,421,58,1477,0,0,-43,-1122
m6,28,-39,-13,24,0,0,-1,1
m7,30,-6,-47,6,43,1,0,-27
m8,1041,548,625,-3369,1122,-1,27,0
