,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,-9,910,782,-4339,724,2016,-83
m2,9,0,-16,-6,-47,-9,3,66
m3,-910,16,0,596,513,259,-488,10
m4,-782,6,-596,0,1776,389,-805,10
m5,4339,47,-513,-1776,0,-1910,-146,-29
m6,-724,9,-259,-389,1910,0,-558,11
m7,-2016,-3,488,805,146,558,0,14
m8,83,-66,-10,-10,29,-11,-14,0
