,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,-4155,-158,-12,1157,-3347,3337,3170
m2,4155,0,44,1,2659,328,-3299,-3891
m3,158,-44,0,15,-17,0,-127,16
m4,12,-1,-15,0,-7,20,3,-12
m5,-1157,-2659,17,7,0,-3783,3249,4330
m6,3347,-328,0,-20,3783,0,-3578,-3209
m7,-3337,3299,127,-3,-3249,3578,0,-410
m8,-3170,3891,-16,12,-4330,3209,410,0
