,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,23,-48,-26,-4407,1611,1705,1144
m2,-23,0,8,9,79,-107,-37,71
m3,48,-8,0,4,-36,9,-37,19
m4,26,-9,-4,0,43,-71,-51,66
m5,4407,-79,36,-43,0,-2100,-837,-1392
m6,-1611,107,-9,71,2100,0,27,-680
m7,-1705,37,37,51,837,-27,0,771
m8,-1144,-71,-19,-66,1392,680,-771,0
