,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,-620,-300,-1105,4008,25,-51,-1948
m2,620,0,-812,839,-1169,11,50,466
m3,300,812,0,66,-1585,-9,-6,420
m4,1105,-839,-66,0,-1134,-1,-6,954
m5,-4008,1169,1585,1134,0,-23,-7,118
m6,-25,-11,9,1,23,0,-22,25
m7,51,-50,6,6,7,22,0,-42
m8,1948,-466,-420,-954,-118,-25,42,0
