,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,400,-370,-785,-1117,1908,-22,-11
m2,-400,0,328,498,-1612,1261,-45,-29
m3,370,-328,0,192,706,-985,11,35
m4,785,-498,-192,0,638,-758,53,-28
m5,1117,1612,-706,-638,0,-1403,-8,12
m6,-1908,-1261,985,758,1403,0,12,18
m7,22,45,-11,-53,8,-12,0,3
m8,11,29,-35,28,-12,-18,-3,0
