,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
motive_1,0.0,0.111,0.1,0.089,0.085,0.089,0.1,0.111
motive_2,0.111,0.0,0.111,0.1,0.089,0.085,0.089,0.1
motive_3,0.1,0.111,0.0,0.111,0.1,0.089,0.085,0.089
motive_4,0.089,0.1,0.111,0.0,0.111,0.1,0.089,0.085
motive_5,0.085,0.089,0.1,0.111,0.0,0.111,0.1,0.089
motive_6,0.089,0.085,0.089,0.1,0.111,0.0,0.111,0.1
motive_7,0.1,0.089,0.085,0.089,0.1,0.111,0.0,0.111
motive_8,0.111,0.1,0.089,0.085,0.089,0.1,0.111,0.0
