,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
motive_1,0.0,0.135,0.121,0.085,0.05,0.035,0.05,0.085
motive_2,0.135,0.0,0.135,0.1,0.065,0.05,0.065,0.1
motive_3,0.121,0.135,0.0,0.085,0.05,0.035,0.05,0.085
motive_4,0.085,0.1,0.085,0.0,0.015,0.0,0.015,0.05
motive_5,0.05,0.065,0.05,0.015,0.0,-0.035,-0.021,0.015
motive_6,0.035,0.05,0.035,0.0,-0.035,0.0,-0.035,0.0
motive_7,0.05,0.065,0.05,0.015,-0.021,-0.035,0.0,0.015
motive_8,0.085,0.1,0.085,0.05,0.015,0.0,0.015,0.0
