step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.0323,0.07952,0.02708,0.0439,0.00785,0.00254,0.09626,0.0836
1,,-0.1677,-0.12048,-0.17292,-0.1561,-0.19215,-0.19746,-0.10374,-0.1164
2,6,-0.3797,-0.42048,-0.38492,-0.1561,0.01985,0.80254,0.10826,-0.1164
3,6,-0.5917,-0.72048,-0.59692,-0.1561,0.23185,1.0,0.32026,-0.1164
4,2,-0.3797,0.27952,-0.38492,-0.1561,0.01985,0.7,0.10826,-0.1164
5,2,-0.1677,1.0,-0.17292,-0.1561,-0.19215,0.4,-0.10374,-0.1164
6,5,-0.4677,0.788,-0.17292,0.0559,0.80785,0.612,-0.10374,-0.3284
7,5,-0.7677,0.576,-0.17292,0.2679,1.0,0.824,-0.10374,-0.5404
8,1,0.2323,0.788,-0.17292,0.0559,0.7,0.612,-0.10374,-0.3284
9,1,1.0,1.0,-0.17292,-0.1561,0.4,0.4,-0.10374,-0.1164
10,3,1.0,1.0,0.82708,0.0559,0.4,0.188,-0.40374,-0.3284
11,3,1.0,1.0,1.0,0.2679,0.4,-0.024,-0.70374,-0.5404
12,7,1.0,0.788,0.7,0.0559,0.4,0.188,0.29626,-0.3284
13,7,1.0,0.576,0.4,-0.1561,0.4,0.4,1.0,-0.1164
14,4,0.788,0.576,0.612,0.8439,0.612,0.4,0.788,-0.4164
15,4,0.576,0.576,0.824,1.0,0.824,0.4,0.576,-0.7164
16,8,0.788,0.576,0.612,0.7,0.612,0.4,0.788,0.2836
17,8,1.0,0.576,0.4,0.4,0.4,0.4,1.0,1.0
18,,0.8,0.376,0.2,0.2,0.2,0.2,0.8,0.8
19,,0.6,0.176,0.0,0.0,0.0,0.0,0.6,0.6
20,,0.4,-0.024,-0.2,-0.2,-0.2,-0.2,0.4,0.4
21,3,0.4,0.188,0.8,0.012,-0.2,-0.412,0.1,0.188
22,3,0.4,0.4,1.0,0.224,-0.2,-0.624,-0.2,-0.024
23,6,0.188,0.1,0.788,0.224,0.012,0.376,0.012,-0.024
24,6,-0.024,-0.2,0.576,0.224,0.224,1.0,0.224,-0.024
25,2,0.188,0.8,0.788,0.224,0.012,0.7,0.012,-0.024
26,2,0.4,1.0,1.0,0.224,-0.2,0.4,-0.2,-0.024
27,7,0.4,0.788,0.7,0.012,-0.2,0.612,0.8,0.188
28,7,0.4,0.576,0.4,-0.2,-0.2,0.824,1.0,0.4
29,4,0.188,0.576,0.612,0.8,0.012,0.824,0.788,0.1
30,4,-0.024,0.576,0.824,1.0,0.224,0.824,0.576,-0.2
31,8,0.188,0.576,0.612,0.7,0.012,0.824,0.788,0.8
32,8,0.4,0.576,0.4,0.4,-0.2,0.824,1.0,1.0
33,5,0.1,0.364,0.4,0.612,0.8,1.0,1.0,0.788
34,5,-0.2,0.152,0.4,0.824,1.0,1.0,1.0,0.576
35,1,0.8,0.364,0.4,0.612,0.7,0.788,1.0,0.788
36,1,1.0,0.576,0.4,0.4,0.4,0.576,1.0,1.0
37,,0.8,0.376,0.2,0.2,0.2,0.376,0.8,0.8
38,,0.6,0.176,0.0,0.0,0.0,0.176,0.6,0.6
39,,0.4,-0.024,-0.2,-0.2,-0.2,-0.024,0.4,0.4
40,3,0.4,0.188,0.8,0.012,-0.2,-0.236,0.1,0.188
41,3,0.4,0.4,1.0,0.224,-0.2,-0.448,-0.2,-0.024
42,6,0.188,0.1,0.788,0.224,0.012,0.552,0.012,-0.024
43,6,-0.024,-0.2,0.576,0.224,0.224,1.0,0.224,-0.024
44,2,0.188,0.8,0.788,0.224,0.012,0.7,0.012,-0.024
45,2,0.4,1.0,1.0,0.224,-0.2,0.4,-0.2,-0.024
46,7,0.4,0.788,0.7,0.012,-0.2,0.612,0.8,0.188
47,7,0.4,0.576,0.4,-0.2,-0.2,0.824,1.0,0.4
48,5,0.1,0.364,0.4,0.012,0.8,1.0,1.0,0.188
49,5,-0.2,0.152,0.4,0.224,1.0,1.0,1.0,-0.024
