step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.08159,0.00518,0.62789,0.19427,0.07094,0.39678,0.05077,0.88662
1,,-0.01841,-0.09482,0.52789,0.09427,-0.02906,0.29678,-0.04923,0.78662
2,2,0.35259,0.90518,0.89889,0.39427,0.19994,0.49678,0.17977,1.0
3,2,0.72359,1.0,1.0,0.69427,0.42894,0.69678,0.40877,1.0
4,,0.62359,0.9,0.9,0.59427,0.32894,0.59678,0.30877,0.9
5,,0.52359,0.8,0.8,0.49427,0.22894,0.49678,0.20877,0.8
6,,0.42359,0.7,0.7,0.39427,0.12894,0.39678,0.10877,0.7
7,,0.32359,0.6,0.6,0.29427,0.02894,0.29678,0.00877,0.6
8,,0.22359,0.5,0.5,0.19427,-0.07106,0.19678,-0.09123,0.5
9,7,0.52359,0.729,0.7,0.42327,0.22894,0.56778,0.90877,0.871
10,7,0.82359,0.958,0.9,0.65227,0.52894,0.93878,1.0,1.0
11,,0.72359,0.858,0.8,0.55227,0.42894,0.83878,0.9,0.9
12,,0.62359,0.758,0.7,0.45227,0.32894,0.73878,0.8,0.8
13,,0.52359,0.658,0.6,0.35227,0.22894,0.63878,0.7,0.7
14,,0.42359,0.558,0.5,0.25227,0.12894,0.53878,0.6,0.6
15,,0.32359,0.458,0.4,0.15227,0.02894,0.43878,0.5,0.5
16,,0.22359,0.358,0.3,0.05227,-0.07106,0.33878,0.4,0.4
17,5,0.42359,0.587,0.6,0.42327,0.92894,0.70978,0.7,0.629
18,5,0.62359,0.816,0.9,0.79427,1.0,1.0,1.0,0.858
19,,0.52359,0.716,0.8,0.69427,0.9,0.9,0.9,0.758
20,,0.42359,0.616,0.7,0.59427,0.8,0.8,0.8,0.658
21,,0.32359,0.516,0.6,0.49427,0.7,0.7,0.7,0.558
22,,0.22359,0.416,0.5,0.39427,0.6,0.6,0.6,0.458
23,,0.12359,0.316,0.4,0.29427,0.5,0.5,0.5,0.358
24,,0.02359,0.216,0.3,0.19427,0.4,0.4,0.4,0.258
25,,-0.07641,0.116,0.2,0.09427,0.3,0.3,0.3,0.158
26,1,0.92359,0.487,0.5,0.32327,0.5,0.529,0.6,0.529
27,1,1.0,0.858,0.8,0.55227,0.7,0.758,0.9,0.9
28,,0.9,0.758,0.7,0.45227,0.6,0.658,0.8,0.8
29,,0.8,0.658,0.6,0.35227,0.5,0.558,0.7,0.7
30,,0.7,0.558,0.5,0.25227,0.4,0.458,0.6,0.6
31,,0.6,0.458,0.4,0.15227,0.3,0.358,0.5,0.5
32,,0.5,0.358,0.3,0.05227,0.2,0.258,0.4,0.4
33,,0.4,0.258,0.2,-0.04773,0.1,0.158,0.3,0.3
34,4,0.629,0.558,0.571,0.95227,0.471,0.458,0.529,0.5
35,4,0.858,0.858,0.942,1.0,0.842,0.758,0.758,0.7
36,,0.758,0.758,0.842,0.9,0.742,0.658,0.658,0.6
37,,0.658,0.658,0.742,0.8,0.642,0.558,0.558,0.5
38,,0.558,0.558,0.642,0.7,0.542,0.458,0.458,0.4
39,,0.458,0.458,0.542,0.6,0.442,0.358,0.358,0.3
40,,0.358,0.358,0.442,0.5,0.342,0.258,0.258,0.2
41,,0.258,0.258,0.342,0.4,0.242,0.158,0.158,0.1
42,,0.158,0.158,0.242,0.3,0.142,0.058,0.058,0.0
43,,0.058,0.058,0.142,0.2,0.042,-0.042,-0.042,-0.1
