step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.07524,0.07916,0.07896,0.00912,0.04944,0.00576,0.05495,0.04415
1,,-0.12476,-0.12084,-0.12104,-0.19088,-0.15056,-0.19424,-0.14505,-0.15585
2,6,-0.43676,-0.52084,-0.43304,-0.29088,-0.03856,0.80576,-0.03305,-0.25585
3,6,-0.74876,-0.92084,-0.74504,-0.39088,0.07344,1.0,0.07895,-0.35585
4,2,-0.63676,0.07916,-0.63304,-0.49088,-0.23856,0.6,-0.23305,-0.45585
5,2,-0.52476,1.0,-0.52104,-0.59088,-0.55056,0.2,-0.54505,-0.55585
6,4,-0.83676,0.9,-0.40904,0.40912,-0.43856,0.1,-0.85705,-0.95585
7,4,-1.0,0.8,-0.29704,1.0,-0.32656,0.0,-1.0,-1.0
8,8,-0.888,0.7,-0.60904,0.6,-0.63856,-0.1,-0.888,0.0
9,8,-0.776,0.6,-0.92104,0.2,-0.95056,-0.2,-0.776,1.0
10,5,-1.0,0.288,-1.0,0.312,0.04944,-0.088,-0.876,0.688
11,5,-1.0,-0.024,-1.0,0.424,1.0,0.024,-0.976,0.376
12,1,0.0,0.088,-1.0,0.112,0.6,-0.288,-1.0,0.488
13,1,1.0,0.2,-1.0,-0.2,0.2,-0.6,-1.0,0.6
14,3,0.9,0.312,0.0,-0.088,0.1,-0.912,-1.0,0.288
15,3,0.8,0.424,1.0,0.024,0.0,-1.0,-1.0,-0.024
16,6,0.488,0.024,0.688,-0.076,0.112,0.0,-0.888,-0.124
17,6,0.176,-0.376,0.376,-0.176,0.224,1.0,-0.776,-0.224
18,7,0.076,-0.688,-0.024,-0.488,0.124,1.0,0.224,-0.112
19,7,-0.024,-1.0,-0.424,-0.8,0.024,1.0,1.0,0.0
20,2,0.088,0.0,-0.312,-0.9,-0.288,0.6,0.688,-0.1
21,2,0.2,1.0,-0.2,-1.0,-0.6,0.2,0.376,-0.2
22,4,-0.112,0.9,-0.088,0.0,-0.488,0.1,0.064,-0.6
23,4,-0.424,0.8,0.024,1.0,-0.376,0.0,-0.248,-1.0
24,8,-0.312,0.7,-0.288,0.6,-0.688,-0.1,-0.136,0.0
25,8,-0.2,0.6,-0.6,0.2,-1.0,-0.2,-0.024,1.0
26,5,-0.6,0.288,-0.7,0.312,0.0,-0.088,-0.124,0.688
27,5,-1.0,-0.024,-0.8,0.424,1.0,0.024,-0.224,0.376
28,1,0.0,0.088,-0.9,0.112,0.6,-0.288,-0.324,0.488
29,1,1.0,0.2,-1.0,-0.2,0.2,-0.6,-0.424,0.6
30,3,0.9,0.312,0.0,-0.088,0.1,-0.912,-0.824,0.288
31,3,0.8,0.424,1.0,0.024,0.0,-1.0,-1.0,-0.024
32,7,0.7,0.112,0.6,-0.288,-0.1,-0.888,0.0,0.088
33,7,0.6,-0.2,0.2,-0.6,-0.2,-0.776,1.0,0.2
34,6,0.288,-0.6,-0.112,-0.7,-0.088,0.224,1.0,0.1
35,6,-0.024,-1.0,-0.424,-0.8,0.024,1.0,1.0,0.0
36,2,0.088,0.0,-0.312,-0.9,-0.288,0.6,0.688,-0.1
37,2,0.2,1.0,-0.2,-1.0,-0.6,0.2,0.376,-0.2
38,4,-0.112,0.9,-0.088,0.0,-0.488,0.1,0.064,-0.6
39,4,-0.424,0.8,0.024,1.0,-0.376,0.0,-0.248,-1.0
40,8,-0.312,0.7,-0.288,0.6,-0.688,-0.1,-0.136,0.0
41,8,-0.2,0.6,-0.6,0.2,-1.0,-0.2,-0.024,1.0
42,5,-0.6,0.288,-0.7,0.312,0.0,-0.088,-0.124,0.688
43,5,-1.0,-0.024,-0.8,0.424,1.0,0.024,-0.224,0.376
44,1,0.0,0.088,-0.9,0.112,0.6,-0.288,-0.324,0.488
45,1,1.0,0.2,-1.0,-0.2,0.2,-0.6,-0.424,0.6
46,3,0.9,0.312,0.0,-0.088,0.1,-0.912,-0.824,0.288
47,3,0.8,0.424,1.0,0.024,0.0,-1.0,-1.0,-0.024
48,6,0.488,0.024,0.688,-0.076,0.112,0.0,-0.888,-0.124
49,6,0.176,-0.376,0.376,-0.176,0.224,1.0,-0.776,-0.224
50,7,0.076,-0.688,-0.024,-0.488,0.124,1.0,0.224,-0.112
51,7,-0.024,-1.0,-0.424,-0.8,0.024,1.0,1.0,0.0
52,2,0.088,0.0,-0.312,-0.9,-0.288,0.6,0.688,-0.1
53,2,0.2,1.0,-0.2,-1.0,-0.6,0.2,0.376,-0.2
54,4,-0.112,0.9,-0.088,0.0,-0.488,0.1,0.064,-0.6
55,4,-0.424,0.8,0.024,1.0,-0.376,0.0,-0.248,-1.0
56,8,-0.312,0.7,-0.288,0.6,-0.688,-0.1,-0.136,0.0
