,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
motive_1,0.0,0.007,0.015,0.032,0.05,0.057,0.05,0.032
motive_2,0.007,0.0,0.007,0.025,0.043,0.05,0.043,0.025
motive_3,0.015,0.007,0.0,0.032,0.05,0.057,0.05,0.032
motive_4,0.032,0.025,0.032,0.0,0.068,0.075,0.068,0.05
motive_5,0.05,0.043,0.05,0.068,0.0,-0.15,0.085,0.068
motive_6,0.057,0.05,0.057,0.075,-0.15,0.0,0.093,0.075
motive_7,0.05,0.043,0.05,0.068,0.085,0.093,0.0,0.068
motive_8,0.032,0.025,0.032,0.05,0.068,0.075,0.068,0.0
