run_tag,run_dir,agent,n_csvs,mean_jump_deg,mean_variance_deg2,std_deg,mean_jump_cos,mean_variance_cos,std_cos,mean_opposite_rate
newoutcome1_00018,newoutcome1_00018_2026-06-02_15-59-49,b,25,107.6613,2251.8541,47.4537,71.1602,4532.7301,67.3256,0.1897
newoutcome1_00019,newoutcome1_00019_2026-06-02_15-59-52,a,25,104.5748,2351.4851,48.4921,68.3635,4554.2816,67.4854,0.1767
newoutcome1_00019,newoutcome1_00019_2026-06-02_15-59-52,b,25,106.1514,2321.2526,48.1794,69.5803,4616.8584,67.9475,0.1843
newoutcome1_00020,newoutcome1_00020_2026-06-02_15-59-55,a,25,106.0252,2269.165,47.6358,69.2658,4505.959,67.1264,0.1845
newoutcome1_00020,newoutcome1_00020_2026-06-02_15-59-55,b,25,106.0378,2347.1798,48.4477,69.9562,4614.8715,67.9328,0.188
newoutcome1_00021,newoutcome1_00021_2026-06-02_15-59-58,a,25,105.6631,2150.966,46.3785,68.5765,4286.1721,65.4689,0.1747
newoutcome1_00021,newoutcome1_00021_2026-06-02_15-59-58,b,25,106.4595,2191.6899,46.8155,69.586,4382.6745,66.2018,0.1808
newoutcome1_00022,newoutcome1_00022_2026-06-02_16-00-01,a,25,105.7676,2466.9445,49.6683,70.1802,4792.1013,69.225,0.1991
newoutcome1_00022,newoutcome1_00022_2026-06-02_16-00-01,b,25,106.8108,2521.6106,50.2156,71.6839,4922.7791,70.1625,0.2227
newoutcome1_00023,newoutcome1_00023_2026-06-02_16-00-04,a,25,105.7532,2326.8735,48.2377,69.4309,4576.4293,67.6493,0.1793
newoutcome1_00023,newoutcome1_00023_2026-06-02_16-00-04,b,25,106.3027,2366.3523,48.6452,70.0449,4676.1503,68.3824,0.1906
newoutcome1_00024,newoutcome1_00024_2026-06-02_16-00-07,a,25,108.1081,2360.5749,48.5857,71.9252,4768.9233,69.0574,0.2108
newoutcome1_00024,newoutcome1_00024_2026-06-02_16-00-07,b,25,107.6523,2342.0867,48.3951,71.6703,4676.589,68.3856,0.1978
newoutcome1_00025,newoutcome1_00025_2026-06-02_16-00-10,a,25,106.1964,2336.0789,48.333,69.7144,4624.0244,68.0002,0.1871
newoutcome1_00025,newoutcome1_00025_2026-06-02_16-00-10,b,25,107.191,2273.9066,47.6855,70.3538,4582.4097,67.6935,0.186
newoutcome1_00026,newoutcome1_00026_2026-06-02_16-00-13,a,25,107.7333,2306.0161,48.021,71.2329,4657.4246,68.2453,0.1991
newoutcome1_00026,newoutcome1_00026_2026-06-02_16-00-13,b,25,107.0955,2327.7997,48.2473,71.0935,4596.3091,67.7961,0.1874
newoutcome1_00027,newoutcome1_00027_2026-06-02_16-00-16,a,25,106.5495,2150.7262,46.3759,69.6734,4292.0826,65.514,0.1747
newoutcome1_00027,newoutcome1_00027_2026-06-02_16-00-16,b,25,106.4595,2191.6899,46.8155,69.586,4382.6745,66.2018,0.1808
newoutcome1_00028,newoutcome1_00028_2026-06-02_16-00-18,a,25,106.1586,2232.2826,47.247,68.5854,4537.6612,67.3622,0.1969
newoutcome1_00028,newoutcome1_00028_2026-06-02_16-00-18,b,25,104.1225,2141.6653,46.2781,64.9433,4321.1429,65.7354,0.1745
newoutcome1_00029,newoutcome1_00029_2026-06-02_16-00-21,a,25,107.5532,2257.2248,47.5103,70.8905,4562.8207,67.5487,0.1882
newoutcome1_00029,newoutcome1_00029_2026-06-02_16-00-21,b,25,107.1369,2216.8772,47.0837,70.0433,4480.138,66.9338,0.1786
newoutcome1_00030,newoutcome1_00030_2026-06-02_16-00-24,a,25,109.1874,2280.6982,47.7567,73.0981,4696.2832,68.5294,0.2171
newoutcome1_00030,newoutcome1_00030_2026-06-02_16-00-24,b,25,102.3622,2165.6797,46.5369,64.4263,4195.5495,64.7731,0.1519
newoutcome1_00031,newoutcome1_00031_2026-06-02_16-00-27,a,25,109.8685,2422.154,49.2154,74.7823,4910.2856,70.0734,0.229
newoutcome1_00031,newoutcome1_00031_2026-06-02_16-00-27,b,25,105.2342,2291.0384,47.8648,67.9175,4539.7021,67.3773,0.1807
newoutcome1_00032,newoutcome1_00032_2026-06-02_16-00-30,a,25,108.7171,2360.8976,48.5891,73.016,4778.6294,69.1276,0.2094
newoutcome1_00032,newoutcome1_00032_2026-06-02_16-00-30,b,25,108.4811,2294.2321,47.8981,72.1255,4673.4684,68.3628,0.1984
newoutcome1_00033,newoutcome1_00033_2026-06-02_16-00-33,a,25,106.1279,2157.0437,46.444,69.1591,4299.0831,65.5674,0.1749
newoutcome1_00033,newoutcome1_00033_2026-06-02_16-00-33,b,25,106.4595,2191.6899,46.8155,69.586,4382.6745,66.2018,0.1808
newoutcome1_00034,newoutcome1_00034_2026-06-02_16-00-36,a,25,106.8955,2151.883,46.3884,70.1055,4352.235,65.9715,0.1823
newoutcome1_00034,newoutcome1_00034_2026-06-02_16-00-36,b,25,107.7694,2219.961,47.1165,71.2496,4475.7622,66.9011,0.1943
newoutcome1_00035,newoutcome1_00035_2026-06-02_16-00-39,a,25,105.755,2272.1696,47.6673,68.9698,4489.0543,67.0004,0.1739
newoutcome1_00035,newoutcome1_00035_2026-06-02_16-00-39,b,25,105.573,2280.8669,47.7584,68.9096,4487.23,66.9868,0.1728
newoutcome1_00036,newoutcome1_00036_2026-06-02_16-00-42,a,25,108.155,2410.6158,49.098,73.1654,4756.664,68.9686,0.203
newoutcome1_00036,newoutcome1_00036_2026-06-02_16-00-42,b,25,108.6955,2374.3483,48.7273,72.9218,4789.8275,69.2086,0.2071
newoutcome1_00037,newoutcome1_00037_2026-06-02_16-00-45,a,25,110.7099,2339.4589,48.368,76.4308,4722.5997,68.7212,0.2231
newoutcome1_00037,newoutcome1_00037_2026-06-02_16-00-45,b,25,106.3279,2267.1676,47.6148,69.6142,4534.8555,67.3413,0.1821
newoutcome1_00038,newoutcome1_00038_2026-06-02_16-00-47,a,25,110.8108,2355.2881,48.5313,75.887,4820.5959,69.4305,0.2197
newoutcome1_00038,newoutcome1_00038_2026-06-02_16-00-47,b,25,105.8613,2322.5164,48.1925,68.7336,4647.6641,68.1738,0.19
newoutcome1_00039,newoutcome1_00039_2026-06-02_16-00-50,a,25,107.5622,2384.1159,48.8274,72.0721,4716.9489,68.68,0.1975
newoutcome1_00039,newoutcome1_00039_2026-06-02_16-00-50,b,25,106.0685,2283.4979,47.786,69.3452,4550.4475,67.457,0.1795
newoutcome1_00040,newoutcome1_00040_2026-06-02_16-00-53,a,25,104.791,2401.4468,49.0046,68.5221,4700.9966,68.5638,0.1958
newoutcome1_00040,newoutcome1_00040_2026-06-02_16-00-53,b,25,106.1387,2676.6925,51.7368,72.2933,5091.3548,71.3537,0.2292
newoutcome1_00041,newoutcome1_00041_2026-06-02_16-00-56,a,25,105.8126,2259.708,47.5364,69.7555,4408.9851,66.4002,0.177
newoutcome1_00041,newoutcome1_00041_2026-06-02_16-00-56,b,25,107.3856,2277.7647,47.7259,70.9843,4577.9269,67.6604,0.1865
newoutcome1_00042,newoutcome1_00042_2026-06-02_16-00-59,a,25,105.1604,2280.7686,47.7574,68.1482,4502.4776,67.1005,0.1776
newoutcome1_00042,newoutcome1_00042_2026-06-02_16-00-59,b,25,109.0252,2238.3726,47.3114,72.7394,4574.2089,67.6329,0.2056
newoutcome1_00043,newoutcome1_00043_2026-06-02_16-01-02,a,25,105.7207,2360.7982,48.588,69.6101,4621.3676,67.9806,0.186
newoutcome1_00043,newoutcome1_00043_2026-06-02_16-01-02,b,25,107.8432,2377.9282,48.764,71.8295,4769.956,69.0649,0.202
newoutcome1_00044,newoutcome1_00044_2026-06-02_16-01-05,a,25,108.3117,2340.842,48.3822,72.7238,4671.2813,68.3468,0.1998
newoutcome1_00044,newoutcome1_00044_2026-06-02_16-01-05,b,25,107.2108,2290.5938,47.8601,70.4635,4611.7882,67.9101,0.1893
newoutcome1_00045,newoutcome1_00045_2026-06-02_16-01-08,a,25,106.1063,2197.6424,46.879,69.3632,4369.8084,66.1045,0.1799
newoutcome1_00045,newoutcome1_00045_2026-06-02_16-01-08,b,25,106.4595,2191.6899,46.8155,69.586,4382.6745,66.2018,0.1808
newoutcome1_00046,newoutcome1_00046_2026-06-02_16-01-12,a,25,112.0288,2198.318,46.8862,77.8905,4536.6741,67.3548,0.2276
newoutcome1_00046,newoutcome1_00046_2026-06-02_16-01-12,b,25,103.1766,2251.5404,47.4504,66.0337,4361.084,66.0385,0.1619
newoutcome1_00047,newoutcome1_00047_2026-06-02_16-01-15,a,25,105.1225,2200.1556,46.9058,67.3003,4394.6999,66.2925,0.1651
newoutcome1_00047,newoutcome1_00047_2026-06-02_16-01-15,b,25,106.0685,2268.7894,47.6318,69.1157,4514.5657,67.1905,0.1757
