tag,simulation,active proportion,mean,std
First_Hypothesis_00002,simulation_4.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_5.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_6.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_7.csv,0.66,0.679,0.004
First_Hypothesis_00002,simulation_8.csv,0.68,0.679,0.004
First_Hypothesis_00002,simulation_9.csv,0.68,0.679,0.004
First_Hypothesis_00003,simulation_0.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_1.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_10.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_11.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_12.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_13.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_14.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_15.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_16.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_17.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_18.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_19.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_2.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_20.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_21.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_22.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_23.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_24.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_25.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_26.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_27.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_28.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_29.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_3.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_4.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_5.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_6.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_7.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_8.csv,0.96,0.96,0.0
First_Hypothesis_00003,simulation_9.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_0.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_1.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_10.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_11.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_12.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_13.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_14.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_15.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_16.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_17.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_18.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_19.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_2.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_20.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_21.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_22.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_23.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_24.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_25.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_26.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_27.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_28.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_29.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_3.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_4.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_5.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_6.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_7.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_8.csv,0.96,0.96,0.0
First_Hypothesis_00004,simulation_9.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_0.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_1.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_10.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_11.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_12.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_13.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_14.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_15.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_16.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_17.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_18.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_19.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_2.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_20.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_21.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_22.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_23.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_24.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_25.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_26.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_27.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_28.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_29.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_3.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_4.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_5.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_6.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_7.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_8.csv,0.96,0.96,0.0
First_Hypothesis_00005,simulation_9.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_0.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_1.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_10.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_11.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_12.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_13.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_14.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_15.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_16.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_17.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_18.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_19.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_2.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_20.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_21.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_22.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_23.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_24.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_25.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_26.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_27.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_28.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_29.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_3.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_4.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_5.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_6.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_7.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_8.csv,0.96,0.96,0.0
First_Hypothesis_00006,simulation_9.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_0.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_1.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_10.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_11.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_12.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_13.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_14.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_15.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_16.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_17.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_18.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_19.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_2.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_20.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_21.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_22.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_23.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_24.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_25.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_26.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_27.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_28.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_29.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_3.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_4.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_5.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_6.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_7.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_8.csv,0.96,0.96,0.0
First_Hypothesis_00007,simulation_9.csv,0.96,0.96,0.0
First_Hypothesis_00008,simulation_0.csv,0.3,0.302,0.025
First_Hypothesis_00008,simulation_1.csv,0.28,0.302,0.025
First_Hypothesis_00008,simulation_10.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_11.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_12.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_13.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_14.csv,0.28,0.302,0.025
First_Hypothesis_00008,simulation_15.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_16.csv,0.3,0.302,0.025
First_Hypothesis_00008,simulation_17.csv,0.24,0.302,0.025
First_Hypothesis_00008,simulation_18.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_19.csv,0.28,0.302,0.025
First_Hypothesis_00008,simulation_2.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_20.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_21.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_22.csv,0.28,0.302,0.025
First_Hypothesis_00008,simulation_23.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_24.csv,0.28,0.302,0.025
First_Hypothesis_00008,simulation_25.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_26.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_27.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_28.csv,0.28,0.302,0.025
First_Hypothesis_00008,simulation_29.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_3.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_4.csv,0.26,0.302,0.025
First_Hypothesis_00008,simulation_5.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_6.csv,0.24,0.302,0.025
First_Hypothesis_00008,simulation_7.csv,0.32,0.302,0.025
First_Hypothesis_00008,simulation_8.csv,0.28,0.302,0.025
First_Hypothesis_00008,simulation_9.csv,0.32,0.302,0.025
First_Hypothesis_00009,simulation_0.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_1.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_10.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_11.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_12.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_13.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_14.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_15.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_16.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_17.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_18.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_19.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_2.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_20.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_21.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_22.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_23.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_24.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_25.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_26.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_27.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_28.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_29.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_3.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_4.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_5.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_6.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_7.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_8.csv,0.32,0.32,0.0
First_Hypothesis_00009,simulation_9.csv,0.32,0.32,0.0
First_Hypothesis_00010,simulation_0.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_1.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_10.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_11.csv,0.66,0.671,0.014
First_Hypothesis_00010,simulation_12.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_13.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_14.csv,0.66,0.671,0.014
First_Hypothesis_00010,simulation_15.csv,0.66,0.671,0.014
First_Hypothesis_00010,simulation_16.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_17.csv,0.64,0.671,0.014
First_Hypothesis_00010,simulation_18.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_19.csv,0.66,0.671,0.014
First_Hypothesis_00010,simulation_2.csv,0.66,0.671,0.014
First_Hypothesis_00010,simulation_20.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_21.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_22.csv,0.66,0.671,0.014
First_Hypothesis_00010,simulation_23.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_24.csv,0.64,0.671,0.014
First_Hypothesis_00010,simulation_25.csv,0.68,0.671,0.014
First_Hypothesis_00010,simulation_26.csv,0.68,0.671,0.014
