run_tag,metric,n_a,n_b,mean_a,mean_b,mean_diff,t,df,p_value,cohens_d,effect,significant
newoutcome1_00013,mean_jump_cos,25,25,72.5929,67.8907,4.7022,2.0442,46.74,0.04659340455672233,0.5782,medium,True
newoutcome1_00013,opposite_switch_rate,25,25,0.2091,0.1822,0.0269,1.6761,46.51,0.10042351143680084,0.4741,small,False
newoutcome1_00014,mean_jump_deg,25,25,109.0919,104.5261,4.5658,2.3053,44.36,0.02588261572359409,0.652,medium,True
newoutcome1_00014,mean_jump_cos,25,25,74.0174,67.3082,6.7092,2.556,42.79,0.014222144440155841,0.723,medium,True
newoutcome1_00014,opposite_switch_rate,25,25,0.2108,0.1846,0.0262,1.7397,45.17,0.08872318023047522,0.4921,small,False
newoutcome1_00015,mean_jump_deg,25,25,106.1694,109.6126,-3.4433,-1.2767,47.85,0.20786026744343378,-0.3611,small,False
newoutcome1_00015,mean_jump_cos,25,25,69.904,74.74,-4.836,-1.2607,47.98,0.2135166878298313,-0.3566,small,False
newoutcome1_00015,opposite_switch_rate,25,25,0.192,0.2103,-0.0183,-0.6513,48.0,0.5179312042540556,-0.1842,negligible,False
newoutcome1_00016,mean_jump_deg,25,25,106.0793,104.6523,1.427,0.4622,47.09,0.646053397030155,0.1307,negligible,False
newoutcome1_00016,mean_jump_cos,25,25,70.8372,68.6749,2.1623,0.5119,47.85,0.6110736894744935,0.1448,negligible,False
newoutcome1_00016,opposite_switch_rate,25,25,0.21,0.1916,0.0184,0.6754,47.96,0.5026921833846745,0.191,negligible,False
newoutcome1_00017,mean_jump_deg,25,25,107.2036,106.0901,1.1135,0.597,36.41,0.5542007764948897,0.1689,negligible,False
newoutcome1_00017,mean_jump_cos,25,25,71.4708,69.6665,1.8043,0.7632,38.19,0.45001345436086837,0.2159,small,False
newoutcome1_00017,opposite_switch_rate,25,25,0.1924,0.1827,0.0098,0.6334,42.1,0.5299057272096039,0.1791,negligible,False
newoutcome1_00018,mean_jump_deg,25,25,108.4577,107.6613,0.7964,0.3719,47.82,0.7116288498976148,0.1052,negligible,False
newoutcome1_00018,mean_jump_cos,25,25,73.2997,71.1602,2.1395,0.6694,47.94,0.5064537198192013,0.1893,negligible,False
newoutcome1_00018,opposite_switch_rate,25,25,0.2216,0.1897,0.0319,1.3047,47.52,0.19826476163427192,0.369,small,False
newoutcome1_00019,mean_jump_deg,25,25,104.5748,106.1513,-1.5766,-0.8696,44.62,0.3891924721608584,-0.246,small,False
newoutcome1_00019,mean_jump_cos,25,25,68.3635,69.5802,-1.2167,-0.5163,42.35,0.608351135674922,-0.146,negligible,False
newoutcome1_00019,opposite_switch_rate,25,25,0.1767,0.1843,-0.0076,-0.5462,42.49,0.5878106774141616,-0.1545,negligible,False
newoutcome1_00020,mean_jump_deg,25,25,106.0252,106.0378,-0.0126,-0.0053,47.04,0.9957560142974105,-0.0015,negligible,False
newoutcome1_00020,mean_jump_cos,25,25,69.2658,69.9562,-0.6903,-0.2092,46.46,0.8352281913103766,-0.0592,negligible,False
newoutcome1_00020,opposite_switch_rate,25,25,0.1845,0.188,-0.0035,-0.1849,43.77,0.8541776237300811,-0.0523,negligible,False
newoutcome1_00021,mean_jump_deg,25,25,105.6631,106.4595,-0.7964,-0.2487,47.18,0.8046677118260253,-0.0703,negligible,False
newoutcome1_00021,mean_jump_cos,25,25,68.5765,69.586,-1.0095,-0.2259,47.46,0.8222770030810644,-0.0639,negligible,False
newoutcome1_00021,opposite_switch_rate,25,25,0.1747,0.1808,-0.0061,-0.1937,44.1,0.8473086038412012,-0.0548,negligible,False
newoutcome1_00022,mean_jump_deg,25,25,105.7676,106.8108,-1.0432,-0.4531,41.55,0.652853441712087,-0.1281,negligible,False
newoutcome1_00022,mean_jump_cos,25,25,70.1802,71.6839,-1.5037,-0.4438,41.48,0.6594924610872875,-0.1255,negligible,False
newoutcome1_00022,opposite_switch_rate,25,25,0.1991,0.2227,-0.0236,-1.1643,39.11,0.25137044490649574,-0.3293,small,False
newoutcome1_00023,mean_jump_deg,25,25,105.7532,106.3027,-0.5495,-0.353,47.98,0.725607617362168,-0.0999,negligible,False
newoutcome1_00023,mean_jump_cos,25,25,69.4309,70.0449,-0.6139,-0.2901,47.64,0.7729652688414799,-0.0821,negligible,False
newoutcome1_00023,opposite_switch_rate,25,25,0.1793,0.1906,-0.0113,-0.8947,40.56,0.37625116188309016,-0.253,small,False
newoutcome1_00024,mean_jump_deg,25,25,108.1081,107.6523,0.4559,0.2216,46.83,0.8255667234692009,0.0627,negligible,False
newoutcome1_00024,mean_jump_cos,25,25,71.9252,71.6703,0.2549,0.0856,46.98,0.9321414482645345,0.0242,negligible,False
newoutcome1_00024,opposite_switch_rate,25,25,0.2108,0.1977,0.013,0.692,43.07,0.4926583467019562,0.1957,negligible,False
newoutcome1_00025,mean_jump_deg,25,25,106.1964,107.191,-0.9946,-0.6784,45.23,0.5009790958611566,-0.1919,negligible,False
newoutcome1_00025,mean_jump_cos,25,25,69.7144,70.3538,-0.6393,-0.2936,45.99,0.7703569808182505,-0.0831,negligible,False
