condition,agent,n_transitions,MAD,mean_row_KL,MI_nats,MI_bits,G_stat,df,p_value,cramers_v,matrix_rank,sv2_ratio,perm_p,perm_z,MI_ci_lo_bits,MI_ci_hi_bits
newoutcome6_00000,a,999000,0.04232203389081869,0.20941973945464515,0.2540390456285502,0.36650087132047443,507570.01316584327,49,0.0,0.2694115522120387,8,0.38182008386126076,0.0033222591362126247,4745.52,0.3643600704190764,0.3703288302861556
newoutcome6_00000,b,999000,0.04410097880700055,0.2844414664500947,0.23951899586909708,0.3455528675390505,478558.95374645595,49,0.0,0.2615989274055649,8,0.3512600624778993,0.0033222591362126247,4527.31,0.34477500937077304,0.3474782579505896
ALL,a,999000,0.04232203389081869,0.20941973945464515,0.2540390456285502,0.36650087132047443,507570.01316584327,49,0.0,0.2694115522120387,8,0.38182008386126076,,,0.36446148235592535,0.3708941827898889
ALL,b,999000,0.04410097880700055,0.2844414664500947,0.23951899586909708,0.3455528675390505,478558.95374645595,49,0.0,0.2615989274055649,8,0.3512600624778993,,,0.3448115986584189,0.34747199079952595
