step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.14674,0.00704,0.09942,0.35567,0.39509,0.30298,0.46315,0.32554
1,,0.13674,-0.00296,0.08942,0.34567,0.38509,0.29298,0.45315,0.31554
2,2,0.40974,0.99704,0.36242,0.33567,0.09209,-0.11702,0.16015,0.30554
3,2,0.68274,1.0,0.63542,0.32567,-0.20091,-0.52702,-0.13285,0.29554
4,6,0.38974,0.59,0.34242,0.31567,0.07209,0.47298,0.14015,0.28554
5,6,0.09674,0.18,0.04942,0.30567,0.34509,1.0,0.41315,0.27554
6,,0.08674,0.17,0.03942,0.29567,0.33509,0.99,0.40315,0.26554
7,,0.07674,0.16,0.02942,0.28567,0.32509,0.98,0.39315,0.25554
8,,0.06674,0.15,0.01942,0.27567,0.31509,0.97,0.38315,0.24554
9,,0.05674,0.14,0.00942,0.26567,0.30509,0.96,0.37315,0.23554
10,,0.04674,0.13,-0.00058,0.25567,0.29509,0.95,0.36315,0.22554
11,3,0.03674,0.403,0.99942,0.52867,0.28509,0.657,-0.04685,-0.06746
12,3,0.02674,0.676,1.0,0.80167,0.27509,0.364,-0.45685,-0.36046
13,7,0.01674,0.383,0.59,0.50867,0.26509,0.637,0.54315,-0.08746
14,7,0.00674,0.09,0.18,0.21567,0.25509,0.91,1.0,0.18554
15,,-0.00326,0.08,0.17,0.20567,0.24509,0.9,0.99,0.17554
16,1,0.99674,0.353,0.16,-0.08733,-0.16491,0.607,0.98,0.44854
17,1,1.0,0.626,0.15,-0.38033,-0.57491,0.314,0.97,0.72154
18,5,0.59,0.333,0.14,-0.10733,0.42509,0.587,0.96,0.42854
19,5,0.18,0.04,0.13,0.16567,1.0,0.86,0.95,0.13554
20,,0.17,0.03,0.12,0.15567,0.99,0.85,0.94,0.12554
21,,0.16,0.02,0.11,0.14567,0.98,0.84,0.93,0.11554
22,,0.15,0.01,0.1,0.13567,0.97,0.83,0.92,0.10554
23,,0.14,0.0,0.09,0.12567,0.96,0.82,0.91,0.09554
24,,0.13,-0.01,0.08,0.11567,0.95,0.81,0.9,0.08554
