active_motive
6
1
2
5
3
8
4
7
8
4
1
2
6
5
3
8
4
1
7
8
2
4
6
5
3
8
4
1
2
8
7
4
6
5
8
3
4
1
2
8
4
7
6
5
8
1
4
3
2
8
4
7
6
1
8
5
2
4
3
8
4
1
7
2
8
6
5
4
3
8
4
1
2
8
7
6
4
5
3
8
1
4
2
8
7
4
6
5
3
8
1
2
4
8
4
7
6
5
1
2
8
3
4
8
4
1
2
7
6
5
8
3
4
8
4
1
2
7
8
6
5
4
3
8
1
2
4
8
7
6
4
5
3
1
2
8
4
8
4
7
6
5
1
2
3
8
4
8
4
1
2
7
6
5
8
3
4
8
4
1
2
7
8
6
5
4
3
8
1
2
4
8
7
6
4
5
3
1
2
8
4
8
4
7
6
5
1
2
3
8
4
8
4
1
2
7
6
5
8
3
4
8
4
1
2
7
8
6
5
4
3
8
1
2
4
8
7
6
4
5
3
1
2
8
4
8
4
7
6
5
1
2
3
8
4
8
4
1
2
7
6
5
8
3
4
8
4
1
2
7
8
6
5
4
3
8
1
2
4
8
7
6
4
5
3
1
2
8
4
8
4
7
6
5
1
2
3
8
4
8
4
1
2
7
6
5
8
3
4
8
4
1
2
7
8
6
5
4
3
8
1
2
4
8
7
6
4
5
3
1
2
8
4
8
4
7
6
5
1
2
3
8
4
8
4
1
2
7
6
5
8
3
4
8
4
1
2
7
8
6
5
4
3
8
1
2
4
8
7
6
4
5
3
1
2
8
4
8
4
7
6
5
1
2
3
8
4
8
4
1
2
7
6
5
8
3
4
8
4
1
2
7
8
6
5
4
3
8
1
2
4
8
7
6
4
5
3
1
2
8
4
8
4
7
6
5
1
2
3
8
4
8
4
1
2
7
6
5
8
3
4
8
4
1
2
7
8
6
5
4
3
8
1
2
4
8
7
6
4
5
3
1
2
8
4
8
4
7
6
5
1
2
3
8
4
8
4
1
2
7
6
5
8
3
4
8
4
1
2
7
8
6
5
4
3
8
1
2
4
8
7
6
4
5
3
1
2
8
4
8
4
7
6
5
1
2
3
8
4
8
