i,j,p_a_fwd,p_b_fwd,separation,fwd_favours,fdr
1,2,0.4465,0.5049,-0.0584,Agent 2,6.9e-05
1,8,0.4463,0.5055,-0.0593,Agent 2,6.9e-05
2,3,0.4241,0.5185,-0.0944,Agent 2,0.0
2,7,0.4055,0.4979,-0.0924,Agent 2,0.0
3,5,0.4333,0.4893,-0.056,Agent 2,0.010507
3,8,0.586,0.4892,0.0967,Agent 1,0.0
7,8,0.5927,0.4781,0.1146,Agent 1,0.0
