condition,agent,n_transitions,MAD,mean_row_KL,MI_nats,MI_bits,G_stat,df,p_value,cramers_v,matrix_rank,sv2_ratio,perm_p,perm_z,MI_ci_lo_bits,MI_ci_hi_bits
newoutcome5_00000,a,999000,0.04711420268681058,0.2003292013569818,0.25638943664035696,0.3698917687773581,512266.0944074332,49,0.0,0.27065499211059774,8,0.37864573406824825,0.0033222591362126247,5467.4,0.36789805361416844,0.37355291713497635
newoutcome5_00000,b,999000,0.07454589700601398,0.3293362044227938,0.41705536773009094,0.6016837108003252,833276.6247247217,49,0.0,0.34519367968477016,8,0.49116468003952907,0.0033222591362126247,9883.12,0.5922451688846558,0.6135869423336281
ALL,a,999000,0.04711420268681058,0.2003292013569818,0.25638943664035696,0.3698917687773581,512266.0944074332,49,0.0,0.27065499211059774,8,0.37864573406824825,,,0.36810085983504265,0.3734705511373314
ALL,b,999000,0.07454589700601398,0.3293362044227938,0.41705536773009094,0.6016837108003252,833276.6247247217,49,0.0,0.34519367968477016,8,0.49116468003952907,,,0.5924014095596575,0.6132238653429777
