step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.03745,0.09507,0.0732,0.05987,0.0156,0.0156,0.00581,0.08662
1,,0.02745,0.08507,0.0632,0.04987,0.0056,0.0056,-0.00419,0.07662
2,7,0.01745,-0.20793,-0.3468,-0.24313,-0.0044,0.2786,0.99581,0.34962
3,7,0.00745,-0.50093,-0.7568,-0.53613,-0.0144,0.5516,1.0,0.62262
4,3,-0.00255,-0.22793,0.2432,-0.26313,-0.0244,0.2586,0.59,0.32962
5,3,-0.01255,0.04507,1.0,0.00987,-0.0344,-0.0344,0.18,0.03662
6,6,-0.30555,-0.36493,0.707,-0.00013,0.2386,0.9656,0.453,0.02662
7,6,-0.59855,-0.77493,0.414,-0.01013,0.5116,1.0,0.726,0.01662
8,2,-0.32555,0.22507,0.687,-0.02013,0.2186,0.59,0.433,0.00662
9,2,-0.05255,1.0,0.96,-0.03013,-0.0744,0.18,0.14,-0.00338
10,5,-0.46255,0.707,0.95,0.24287,0.9256,0.453,0.13,-0.29638
11,5,-0.87255,0.414,0.94,0.51587,1.0,0.726,0.12,-0.58938
12,1,0.12745,0.687,0.93,0.22287,0.59,0.433,0.11,-0.31638
13,1,1.0,0.96,0.92,-0.07013,0.18,0.14,0.1,-0.04338
14,4,0.707,0.95,1.0,0.92987,0.453,0.13,-0.193,-0.45338
15,4,0.414,0.94,1.0,1.0,0.726,0.12,-0.486,-0.86338
16,8,0.687,0.93,0.707,0.59,0.433,0.11,-0.213,0.13662
17,8,0.96,0.92,0.414,0.18,0.14,0.1,0.06,1.0
18,,0.95,0.91,0.404,0.17,0.13,0.09,0.05,0.99
19,,0.94,0.9,0.394,0.16,0.12,0.08,0.04,0.98
20,,0.93,0.89,0.384,0.15,0.11,0.07,0.03,0.97
21,,0.92,0.88,0.374,0.14,0.1,0.06,0.02,0.96
22,,0.91,0.87,0.364,0.13,0.09,0.05,0.01,0.95
23,,0.9,0.86,0.354,0.12,0.08,0.04,0.0,0.94
24,,0.89,0.85,0.344,0.11,0.07,0.03,-0.01,0.93
25,7,0.88,0.557,-0.066,-0.183,0.06,0.303,0.99,1.0
26,7,0.87,0.264,-0.476,-0.476,0.05,0.576,1.0,1.0
27,4,0.577,0.254,-0.203,0.524,0.323,0.566,0.707,0.59
28,4,0.284,0.244,0.07,1.0,0.596,0.556,0.414,0.18
29,,0.274,0.234,0.06,0.99,0.586,0.546,0.404,0.17
30,,0.264,0.224,0.05,0.98,0.576,0.536,0.394,0.16
31,,0.254,0.214,0.04,0.97,0.566,0.526,0.384,0.15
32,,0.244,0.204,0.03,0.96,0.556,0.516,0.374,0.14
33,,0.234,0.194,0.02,0.95,0.546,0.506,0.364,0.13
34,,0.224,0.184,0.01,0.94,0.536,0.496,0.354,0.12
35,,0.214,0.174,0.0,0.93,0.526,0.486,0.344,0.11
36,,0.204,0.164,-0.01,0.92,0.516,0.476,0.334,0.1
37,3,0.194,0.437,0.99,1.0,0.506,0.183,-0.076,-0.193
38,3,0.184,0.71,1.0,1.0,0.496,-0.11,-0.486,-0.486
39,8,0.457,0.7,0.707,0.59,0.203,-0.12,-0.213,0.514
40,8,0.73,0.69,0.414,0.18,-0.09,-0.13,0.06,1.0
41,6,0.437,0.28,0.121,0.17,0.183,0.87,0.333,0.99
42,6,0.144,-0.13,-0.172,0.16,0.456,1.0,0.606,0.98
43,3,0.134,0.143,0.828,0.433,0.446,0.707,0.196,0.687
44,3,0.124,0.416,1.0,0.706,0.436,0.414,-0.214,0.394
45,7,0.114,0.123,0.59,0.413,0.426,0.687,0.786,0.667
46,7,0.104,-0.17,0.18,0.12,0.416,0.96,1.0,0.94
47,2,0.377,0.83,0.453,0.11,0.123,0.55,0.707,0.93
48,2,0.65,1.0,0.726,0.1,-0.17,0.14,0.414,0.92
49,5,0.24,0.707,0.716,0.373,0.83,0.413,0.404,0.627
