step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.78518,0.19967,0.51423,0.59241,0.04645,0.60754,0.17052,0.06505
1,,0.63518,0.04967,0.36423,0.44241,-0.10355,0.45754,0.02052,-0.08495
2,5,0.78518,0.22867,0.61423,0.76341,0.89645,0.77854,0.27052,0.09405
3,5,0.93518,0.40767,0.86423,1.0,1.0,1.0,0.52052,0.27305
4,,0.78518,0.25767,0.71423,0.85,0.85,0.85,0.37052,0.12305
5,,0.63518,0.10767,0.56423,0.7,0.7,0.7,0.22052,-0.02695
6,8,0.95618,0.35767,0.74323,0.85,0.879,0.95,0.54152,0.97305
7,8,1.0,0.60767,0.92223,1.0,1.0,1.0,0.86252,1.0
8,,0.85,0.45767,0.77223,0.85,0.85,0.85,0.71252,0.85
9,,0.7,0.30767,0.62223,0.7,0.7,0.7,0.56252,0.7
10,,0.55,0.15767,0.47223,0.55,0.55,0.55,0.41252,0.55
11,,0.4,0.00767,0.32223,0.4,0.4,0.4,0.26252,0.4
12,,0.25,-0.14233,0.17223,0.25,0.25,0.25,0.11252,0.25
13,2,0.571,0.85767,0.49323,0.5,0.429,0.4,0.29152,0.5
14,2,0.892,1.0,0.81423,0.75,0.608,0.55,0.47052,0.75
15,,0.742,0.85,0.66423,0.6,0.458,0.4,0.32052,0.6
16,,0.592,0.7,0.51423,0.45,0.308,0.25,0.17052,0.45
17,,0.442,0.55,0.36423,0.3,0.158,0.1,0.02052,0.3
18,,0.292,0.4,0.21423,0.15,0.008,-0.05,-0.12948,0.15
19,7,0.542,0.579,0.36423,0.329,0.258,0.271,0.87052,0.471
20,7,0.792,0.758,0.51423,0.508,0.508,0.592,1.0,0.792
21,,0.642,0.608,0.36423,0.358,0.358,0.442,0.85,0.642
22,,0.492,0.458,0.21423,0.208,0.208,0.292,0.7,0.492
23,,0.342,0.308,0.06423,0.058,0.058,0.142,0.55,0.342
24,,0.192,0.158,-0.08577,-0.092,-0.092,-0.008,0.4,0.192
25,5,0.342,0.337,0.16423,0.229,0.908,0.313,0.65,0.371
26,5,0.492,0.516,0.41423,0.55,1.0,0.634,0.9,0.55
27,,0.342,0.366,0.26423,0.4,0.85,0.484,0.75,0.4
28,,0.192,0.216,0.11423,0.25,0.7,0.334,0.6,0.25
29,,0.042,0.066,-0.03577,0.1,0.55,0.184,0.45,0.1
30,3,0.292,0.387,0.96423,0.421,0.8,0.363,0.6,0.279
31,3,0.542,0.708,1.0,0.742,1.0,0.542,0.75,0.458
32,,0.392,0.558,0.85,0.592,0.85,0.392,0.6,0.308
33,,0.242,0.408,0.7,0.442,0.7,0.242,0.45,0.158
34,,0.092,0.258,0.55,0.292,0.55,0.092,0.3,0.008
35,,-0.058,0.108,0.4,0.142,0.4,-0.058,0.15,-0.142
36,8,0.263,0.358,0.579,0.292,0.579,0.192,0.471,0.858
37,8,0.584,0.608,0.758,0.442,0.758,0.442,0.792,1.0
38,,0.434,0.458,0.608,0.292,0.608,0.292,0.642,0.85
39,,0.284,0.308,0.458,0.142,0.458,0.142,0.492,0.7
40,,0.134,0.158,0.308,-0.008,0.308,-0.008,0.342,0.55
41,4,0.313,0.408,0.629,0.992,0.629,0.242,0.521,0.7
42,4,0.492,0.658,0.95,1.0,0.95,0.492,0.7,0.85
43,,0.342,0.508,0.8,0.85,0.8,0.342,0.55,0.7
44,,0.192,0.358,0.65,0.7,0.65,0.192,0.4,0.55
45,,0.042,0.208,0.5,0.55,0.5,0.042,0.25,0.4
46,,-0.108,0.058,0.35,0.4,0.35,-0.108,0.1,0.25
47,6,0.071,0.208,0.529,0.65,0.671,0.892,0.421,0.5
48,6,0.25,0.358,0.708,0.9,0.992,1.0,0.742,0.75
49,,0.1,0.208,0.558,0.75,0.842,0.85,0.592,0.6
