agent,i,j,mean_fwd,mean_rev,mean_net,sd_net,n_rounds,t,p_value,cohens_d,ci95_lo,ci95_hi,p_holm,p_fdr,sig_fdr
a,1,2,38.617,47.869,-9.252,53.86633529467248,1000,-5.431480116816389,7.0197604757268e-08,-0.17175848235057206,-12.594658503378337,-5.909341496621663,1.614544909417164e-06,3.2758882220058407e-07,True
a,1,3,29.987,28.855,1.132,63.842606889556556,1000,0.5607067890418767,0.5751231670440644,0.017731105528918708,-2.8297329010745393,5.09373290107454,1.0,0.8475499303807265,False
a,1,4,0.214,0.161,0.053,1.7167230813786303,1000,0.9762827668998939,0.32916070160806954,0.03087277183774908,-0.05353071114870673,0.15953071114870673,1.0,0.5907725488597333,False
a,1,5,143.78,128.525,15.255,171.64821316892315,1000,2.810430986449823,0.005044189359342919,0.08887363123895259,4.603424090852439,25.906575909147563,0.10088378718685839,0.01569303356240019,True
a,1,6,0.196,0.199,-0.003,2.2565644424839904,1000,-0.042041046122583504,0.9664743776764472,-0.0013294546096355429,-0.1430303971084575,0.1370303971084575,1.0,0.9773342059815275,False
a,1,7,31.193,29.201,1.992,65.26855230445915,1000,0.96512897507994,0.334713785024382,0.03052005797076499,-2.058219495538464,6.042219495538464,1.0,0.5907725488597333,False
a,1,8,37.998,47.15,-9.152,52.52625918437276,1000,-5.509846997532117,4.569477711913412e-08,-0.17423666071241634,-12.411500501617809,-5.892499498382189,1.0966746508592188e-06,2.5589075186715106e-07,True
a,2,3,10.344,14.045,-3.701,17.74340518128996,1000,-6.596022297131757,6.835389189542007e-11,-0.20858453956192274,-4.802061430737281,-2.59993856926272,1.7088472973855018e-09,4.784772432679405e-10,True
a,2,4,0.065,0.098,-0.033,1.0877012890008424,1000,-0.9594101233567233,0.3375843136341333,-0.030339212000303553,-0.10049696156095912,0.03449696156095912,1.0,0.5907725488597333,False
a,2,5,41.754,42.418,-0.664,51.73588412026711,1000,-0.40585995620962884,0.6849324145543804,-0.01283441872678626,-3.8744540254757394,2.546454025475739,1.0,0.9132432194058405,False
a,2,6,0.085,0.095,-0.01,1.23345912839519,1000,-0.25637474216780143,0.7977142735880979,-0.008107281197886668,-0.08654191846438071,0.06654191846438072,1.0,0.9226076207046711,False
a,2,7,9.956,14.594,-4.638,17.693898101606386,1000,-8.289097011658157,3.650759728471424e-16,-0.2621242630293506,-5.73598928447048,-3.5400107155295197,1.0222127239719986e-14,1.0222127239719986e-14,True
a,2,8,12.445,12.677,-0.232,38.65338614222899,1000,-0.18980184930229177,0.8495029640084716,-0.006002061479072826,-2.63062372604113,2.1666237260411294,1.0,0.9226076207046711,False
a,3,4,0.103,0.067,0.036,0.9378611750059728,1000,1.213846982900605,0.2250930479144764,0.038385211968893725,-0.02219868039049927,0.09419868039049926,1.0,0.5729641219641217,False
a,3,5,26.478,34.623,-8.145,64.98451324709575,1000,-3.963521499981775,7.910866954563751e-05,-0.12533755494989432,-12.17759354112383,-4.11240645887617,0.0017403907300040252,0.00031643467818255003,True
a,3,6,0.091,0.055,0.036,0.45266865244780197,1000,2.5149078724683496,0.01206241971031534,0.0795283698248825,0.007909789072524674,0.06409021092747533,0.22918597449599148,0.03377477518888296,True
a,3,7,10.622,9.324,1.298,41.60536266158729,1000,0.9865642648725704,0.3240951738800043,0.031197901351269697,-1.2838077009714262,3.8798077009714262,1.0,0.5907725488597333,False
a,3,8,14.257,10.074,4.183,17.59741970233648,1000,7.5169017255001425,1.2449989531417063e-13,0.23770530400230244,3.090997652267423,5.275002347732577,3.2369972781684363e-12,1.1619990229322592e-12,True
a,4,5,0.139,0.112,0.027,1.4712020375989956,1000,0.5803519478799052,0.5618081801288016,0.018352339998158274,-0.06429497995855298,0.11829497995855297,1.0,0.8475499303807265,False
a,4,6,0.041,0.042,-0.001,1.1127610872227862,1000,-0.028418298379400995,0.9773342059815275,-0.0008986655010517902,-0.0700520394618649,0.0680520394618649,1.0,0.9773342059815275,False
a,4,7,0.098,0.076,0.022,0.7694856126712883,1000,0.9041118817308356,0.3661540455770931,0.028590528058902172,-0.025750187800085256,0.06975018780008525,1.0,0.6030772515387416,False
a,4,8,0.091,0.082,0.009,0.8715954788080756,1000,0.32653334756205615,0.7440892588901287,0.01032589110295487,-0.04508658344411402,0.06308658344411402,1.0,0.9226076207046711,False
a,5,6,0.117,0.125,-0.008,1.4006776566711903,1000,-0.18061415601838077,0.8567070763686232,-0.005711521106870918,-0.0949186116700064,0.07891861167000641,1.0,0.9226076207046711,False
a,5,7,32.648,26.81,5.838,64.15966192412658,1000,2.877411823318974,0.004094881154681626,0.09099175127985953,1.8565923484241171,9.819407651575883,0.08599250424831414,0.01433208404138569,True
a,5,8,43.242,42.523,0.719,53.52099154103495,1000,0.424819789804869,0.6710595293702828,0.013433981308973643,-2.602228305308055,4.040228305308055,1.0,0.9132432194058405,False
a,6,7,0.084,0.061,0.023,0.7556732376113645,1000,0.9624846105940608,0.3360391375388698,0.0304364358233746,-0.02389306520777719,0.06989306520777719,1.0,0.5907725488597333,False
a,6,8,0.116,0.125,-0.009,1.1833508859671842,1000,-0.240507691159194,0.809986047060081,-0.007605520988513951,-0.08243246723245548,0.06443246723245549,1.0,0.9226076207046711,False
a,7,8,14.376,9.877,4.499,17.586394749358956,1000,8.089825911371703,1.722405111730362e-15,0.25582275754182043,3.407681802258657,5.590318197741342,4.650493801671977e-14,2.411367156422507e-14,True
b,1,2,44.589,43.728,0.861,50.0177914192386,1000,0.5443505177155263,0.5863217655504951,0.017213874814729007,-2.2428383230102105,3.96483832301021,1.0,0.8971013870776681,False
b,1,3,30.863,32.377,-1.514,29.26985699535494,1000,-1.6357061048349917,0.1022161113512283,-0.05172556873920732,-3.330331774622649,0.30233177462264904,1.0,0.475762178715248,False
b,1,4,0.144,0.178,-0.034,1.6338645946079848,1000,-0.6580560029304122,0.5106537541903244,-0.020809557972065407,-0.13538895379941193,0.06738895379941193,1.0,0.8971013870776681,False
b,1,5,120.713,118.405,2.308,145.35888118838952,1000,0.5021046378452441,0.6157045647595756,0.0158779427932495,-6.71219967736671,11.32819967736671,1.0,0.8971013870776681,False
b,1,6,0.135,0.184,-0.049,1.2091571697099848,1000,-1.2814844027713583,0.2003209325306562,-0.04052409498738084,-0.12403386805769408,0.026033868057694073,1.0,0.5777110045090121,False
b,1,7,30.412,32.98,-2.568,29.44806554876847,1000,-2.7576443070135754,0.005928144380481067,-0.08720436986759543,-4.395390450383378,-0.7406095496166223,0.15413175389250772,0.05532934755115662,False
b,1,8,45.486,44.493,0.993,51.96536683552181,1000,0.6042758682886278,0.545797450650698,0.019108880788679776,-2.231694503231061,4.217694503231061,1.0,0.8971013870776681,False
b,2,3,11.846,11.0,0.846,8.541969869371423,1000,3.1319320267039465,0.0017871170213379108,0.09904038681211767,0.31593074499575446,1.3760692550042455,0.04825215957612359,0.025019638298730752,True
b,2,4,0.094,0.068,0.026,1.343550940280691,1000,0.611954609977057,0.5407070342694513,0.019351703921675012,-0.057373631242654585,0.10937363124265458,1.0,0.8971013870776681,False
b,2,5,44.886,45.047,-0.161,52.012521390347736,1000,-0.09788541098905285,0.9220429200405423,-0.0030954084842708222,-3.388620664307355,3.066620664307355,1.0,1.0,False
b,2,6,0.075,0.114,-0.039,1.2740102441119154,1000,-0.9680363977962879,0.3332604872996673,-0.030611998749810715,-0.11805830520260008,0.04005830520260007,1.0,0.7776078036992237,False
b,2,7,11.824,11.923,-0.099,8.635031138494103,1000,-0.3625528192493192,0.7170156461730194,-0.011464926809431866,-0.6348441428050658,0.4368441428050659,1.0,0.9560208615640259,False
b,2,8,15.209,14.933,0.276,41.534623495933474,1000,0.21013519823814578,0.833605002884623,0.006645058430035422,-2.3014180042842263,2.853418004284226,1.0,0.9725391700320603,False
