i,j,mean_net_a,mean_net_b,diff,t,p_value,hedges_g,p_fdr,sig_fdr
1,2,-9.252,0.861,-10.113000000000001,-4.350588362016664,1.4265406248586432e-05,-0.19449118263264856,6.921804446808132e-05,True
1,3,1.132,-1.514,2.646,1.1913839887687314,0.23370463698877894,0.05326030910399083,0.45538598988997653,False
1,4,0.053,-0.034,0.087,1.1608617668368335,0.2458371347148849,0.051895826292438586,0.45538598988997653,False
1,5,15.255,2.308,12.947000000000001,1.8202325597420004,0.06887720266424197,0.08137271416010806,0.16530314548692204,False
1,6,-0.003,-0.049,0.046,0.5681981788585194,0.569983840370835,0.025401055347071547,0.7979773765191691,False
1,7,1.992,-2.568,4.5600000000000005,2.0138442471335405,0.04421833390759044,0.09002804142136808,0.1375681499347258,False
1,8,-9.152,0.993,-10.145,-4.341894884213177,1.483243810030314e-05,-0.19410254444431693,6.921804446808132e-05,True
2,3,-3.701,0.846,-4.547,-7.301710208192965,4.685425899144625e-13,-0.326419816232408,3.5454665581712684e-12,True
2,4,-0.033,0.026,-0.059,-1.0793082416113038,0.2805862578049769,-0.04825001100284349,0.45538598988997653,False
2,5,-0.664,-0.161,-0.503,-0.21682033353894234,0.8283705016527714,-0.009692859811091612,0.9300323477403605,False
2,6,-0.01,-0.039,0.028999999999999998,0.5171548166248757,0.6051053935864692,0.02311918377929898,0.8068071914486256,False
2,7,-4.638,-0.099,-4.539,-7.290328983256412,5.064952225958955e-13,-0.3259110234638151,3.5454665581712684e-12,True
2,8,-0.232,0.276,-0.508,-0.28313210093336,0.7771050570340952,-0.012657298868484558,0.9300323477403605,False
3,4,0.036,-0.025,0.061,1.8096706158025868,0.0705422470699489,0.0809005469963261,0.16530314548692204,False
3,5,-8.145,-1.345,-6.8,-3.0137738060564696,0.002626801922078846,-0.13472946253538848,0.010507207688315383,True
3,6,0.036,0.005,0.030999999999999996,1.1663820866920833,0.2436237316867287,0.05214260981866958,0.45538598988997653,False
3,7,1.298,1.182,0.1160000000000001,0.07076754023360333,0.943590437849294,0.003163632466864107,0.9523282774899718,False
3,8,4.183,-0.509,4.692,7.545221064774763,7.88347312567118e-14,0.337305864403265,1.1036862375939651e-12,True
4,5,0.027,0.001,0.026,0.44069374383095766,0.6594852324853813,0.019701024386679065,0.8393448413450307,False
4,6,-0.001,0.094,-0.095,-1.1156095993299913,0.26478159953573305,-0.04987284759559474,0.45538598988997653,False
4,7,0.022,-0.007,0.028999999999999998,1.05247647455663,0.292748136357842,0.04705050839024324,0.45538598988997653,False
4,8,0.009,-0.121,0.13,1.8079201539004033,0.07084420520868087,0.08082229334942136,0.16530314548692204,False
5,6,-0.008,-0.011,0.002999999999999999,0.059793087276597184,0.9523282774899718,0.002673024264766793,0.9523282774899718,False
5,7,5.838,0.539,5.299,2.3760095709575797,0.01763511858878498,0.10621848654691493,0.06172291506074743,False
5,8,0.719,0.397,0.32199999999999995,0.13910638856712887,0.8893801663844876,0.006218691306303368,0.9523282774899718,False
6,7,0.023,0.0,0.023,0.7528230590341976,0.4516493686486912,0.033654631254706704,0.6655885432717554,False
6,8,-0.009,0.0,-0.009,-0.21424420037576408,0.830386024768179,-0.009577694885377182,0.9300323477403605,False
7,8,4.499,-0.99,5.489,8.848269841525068,2.51421479477903e-18,0.39555809985509655,7.039801425381284e-17,True
