step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,0.17882,0.36647,0.74417,0.72094,0.30806,0.54254,0.50881,0.63633
1,,0.12882,0.31647,0.69417,0.67094,0.25806,0.49254,0.45881,0.58633
2,,0.07882,0.26647,0.64417,0.62094,0.20806,0.44254,0.40881,0.53633
3,,0.02882,0.21647,0.59417,0.57094,0.15806,0.39254,0.35881,0.48633
4,,-0.02118,0.16647,0.54417,0.52094,0.10806,0.34254,0.30881,0.43633
5,1,0.97882,0.65747,0.89417,0.72994,0.25806,0.55154,0.65881,0.92733
6,1,1.0,1.0,1.0,0.93894,0.40806,0.76054,1.0,1.0
7,,0.95,0.95,0.95,0.88894,0.35806,0.71054,0.95,0.95
8,,0.9,0.9,0.9,0.83894,0.30806,0.66054,0.9,0.9
9,,0.85,0.85,0.85,0.78894,0.25806,0.61054,0.85,0.85
10,,0.8,0.8,0.8,0.73894,0.20806,0.56054,0.8,0.8
11,,0.75,0.75,0.75,0.68894,0.15806,0.51054,0.75,0.75
12,,0.7,0.7,0.7,0.63894,0.10806,0.46054,0.7,0.7
13,,0.65,0.65,0.65,0.58894,0.05806,0.41054,0.65,0.65
14,,0.6,0.6,0.6,0.53894,0.00806,0.36054,0.6,0.6
15,,0.55,0.55,0.55,0.48894,-0.04194,0.31054,0.55,0.55
16,5,0.7,0.759,0.9,0.97994,0.95806,0.80154,0.9,0.759
17,5,0.85,0.968,1.0,1.0,1.0,1.0,1.0,0.968
18,,0.8,0.918,0.95,0.95,0.95,0.95,0.95,0.918
19,,0.75,0.868,0.9,0.9,0.9,0.9,0.9,0.868
20,,0.7,0.818,0.85,0.85,0.85,0.85,0.85,0.818
21,,0.65,0.768,0.8,0.8,0.8,0.8,0.8,0.768
22,,0.6,0.718,0.75,0.75,0.75,0.75,0.75,0.718
23,,0.55,0.668,0.7,0.7,0.7,0.7,0.7,0.668
24,,0.5,0.618,0.65,0.65,0.65,0.65,0.65,0.618
25,,0.45,0.568,0.6,0.6,0.6,0.6,0.6,0.568
26,,0.4,0.518,0.55,0.55,0.55,0.55,0.55,0.518
27,,0.35,0.468,0.5,0.5,0.5,0.5,0.5,0.468
28,,0.3,0.418,0.45,0.45,0.45,0.45,0.45,0.418
29,,0.25,0.368,0.4,0.4,0.4,0.4,0.4,0.368
30,,0.2,0.318,0.35,0.35,0.35,0.35,0.35,0.318
31,,0.15,0.268,0.3,0.3,0.3,0.3,0.3,0.268
32,,0.1,0.218,0.25,0.25,0.25,0.25,0.25,0.218
33,,0.05,0.168,0.2,0.2,0.2,0.2,0.2,0.168
34,,0.0,0.118,0.15,0.15,0.15,0.15,0.15,0.118
35,,-0.05,0.068,0.1,0.1,0.1,0.1,0.1,0.068
36,1,0.95,0.559,0.45,0.309,0.25,0.309,0.45,0.559
37,1,1.0,1.0,0.8,0.518,0.4,0.518,0.8,1.0
38,,0.95,0.95,0.75,0.468,0.35,0.468,0.75,0.95
39,,0.9,0.9,0.7,0.418,0.3,0.418,0.7,0.9
40,,0.85,0.85,0.65,0.368,0.25,0.368,0.65,0.85
41,,0.8,0.8,0.6,0.318,0.2,0.318,0.6,0.8
42,,0.75,0.75,0.55,0.268,0.15,0.268,0.55,0.75
43,,0.7,0.7,0.5,0.218,0.1,0.218,0.5,0.7
44,,0.65,0.65,0.45,0.168,0.05,0.168,0.45,0.65
45,,0.6,0.6,0.4,0.118,0.0,0.118,0.4,0.6
46,,0.55,0.55,0.35,0.068,-0.05,0.068,0.35,0.55
47,5,0.7,0.759,0.7,0.559,0.95,0.559,0.7,0.759
48,5,0.85,0.968,1.0,1.0,1.0,1.0,1.0,0.968
49,,0.8,0.918,0.95,0.95,0.95,0.95,0.95,0.918
50,,0.75,0.868,0.9,0.9,0.9,0.9,0.9,0.868
51,,0.7,0.818,0.85,0.85,0.85,0.85,0.85,0.818
52,,0.65,0.768,0.8,0.8,0.8,0.8,0.8,0.768
53,,0.6,0.718,0.75,0.75,0.75,0.75,0.75,0.718
54,,0.55,0.668,0.7,0.7,0.7,0.7,0.7,0.668
55,,0.5,0.618,0.65,0.65,0.65,0.65,0.65,0.618
56,,0.45,0.568,0.6,0.6,0.6,0.6,0.6,0.568
57,,0.4,0.518,0.55,0.55,0.55,0.55,0.55,0.518
58,,0.35,0.468,0.5,0.5,0.5,0.5,0.5,0.468
59,,0.3,0.418,0.45,0.45,0.45,0.45,0.45,0.418
60,,0.25,0.368,0.4,0.4,0.4,0.4,0.4,0.368
61,,0.2,0.318,0.35,0.35,0.35,0.35,0.35,0.318
62,,0.15,0.268,0.3,0.3,0.3,0.3,0.3,0.268
63,,0.1,0.218,0.25,0.25,0.25,0.25,0.25,0.218
64,,0.05,0.168,0.2,0.2,0.2,0.2,0.2,0.168
65,,0.0,0.118,0.15,0.15,0.15,0.15,0.15,0.118
66,,-0.05,0.068,0.1,0.1,0.1,0.1,0.1,0.068
67,1,0.95,0.559,0.45,0.309,0.25,0.309,0.45,0.559
68,1,1.0,1.0,0.8,0.518,0.4,0.518,0.8,1.0
69,,0.95,0.95,0.75,0.468,0.35,0.468,0.75,0.95
70,,0.9,0.9,0.7,0.418,0.3,0.418,0.7,0.9
71,,0.85,0.85,0.65,0.368,0.25,0.368,0.65,0.85
72,,0.8,0.8,0.6,0.318,0.2,0.318,0.6,0.8
73,,0.75,0.75,0.55,0.268,0.15,0.268,0.55,0.75
74,,0.7,0.7,0.5,0.218,0.1,0.218,0.5,0.7
75,,0.65,0.65,0.45,0.168,0.05,0.168,0.45,0.65
76,,0.6,0.6,0.4,0.118,0.0,0.118,0.4,0.6
77,,0.55,0.55,0.35,0.068,-0.05,0.068,0.35,0.55
78,5,0.7,0.759,0.7,0.559,0.95,0.559,0.7,0.759
79,5,0.85,0.968,1.0,1.0,1.0,1.0,1.0,0.968
80,,0.8,0.918,0.95,0.95,0.95,0.95,0.95,0.918
81,,0.75,0.868,0.9,0.9,0.9,0.9,0.9,0.868
82,,0.7,0.818,0.85,0.85,0.85,0.85,0.85,0.818
83,,0.65,0.768,0.8,0.8,0.8,0.8,0.8,0.768
84,,0.6,0.718,0.75,0.75,0.75,0.75,0.75,0.718
85,,0.55,0.668,0.7,0.7,0.7,0.7,0.7,0.668
86,,0.5,0.618,0.65,0.65,0.65,0.65,0.65,0.618
87,,0.45,0.568,0.6,0.6,0.6,0.6,0.6,0.568
88,,0.4,0.518,0.55,0.55,0.55,0.55,0.55,0.518
