,m1,m2,m3,m4,m5,m6,m7,m8
m1,0,3338,3211,1705,2565,25,-51,-10854
m2,-3338,0,-699,430,-2375,11,50,5957
m3,-3211,699,0,-1580,-3892,-9,-6,8031
m4,-1705,-430,1580,0,-3605,-1,-6,4210
m5,-2565,2375,3892,3605,0,-23,-7,-7364
m6,-25,-11,9,1,23,0,-22,25
m7,51,-50,6,6,7,22,0,-42
m8,10854,-5957,-8031,-4210,7364,-25,42,0
