condition,agent,sigma_m1,sigma_m2,sigma_m3,sigma_m4,sigma_m5,sigma_m6,sigma_m7,sigma_m8,sigma_total,sigma_total_smoothed,n_oneway_pairs,n_transitions
newoutcome5_00000,a,0.00197,0.00187,0.00348,0.0011,0.00117,3e-05,3e-05,0.00707,0.01672,0.01672,0,999000
newoutcome5_00000,b,0.05818,0.0888,0.00012,1e-05,0.06002,0.07778,0.09318,0.09747,0.47556,0.47552,0,999000
ALL,a,0.00197,0.00187,0.00348,0.0011,0.00117,3e-05,3e-05,0.00707,0.01672,0.01672,0,999000
ALL,b,0.05818,0.0888,0.00012,1e-05,0.06002,0.07778,0.09318,0.09747,0.47556,0.47552,0,999000
