,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
motive_1,0.0,0.512,0.3,0.088,0.0,0.088,0.3,0.512
motive_2,0.512,0.0,0.512,0.3,0.088,0.0,0.088,0.3
motive_3,0.3,0.512,0.0,0.512,0.3,0.088,0.0,0.088
motive_4,0.088,0.3,0.512,0.0,0.512,0.3,0.088,0.0
motive_5,0.0,0.088,0.3,0.512,0.0,0.512,0.3,0.088
motive_6,0.088,0.0,0.088,0.3,0.512,0.0,0.512,0.3
motive_7,0.3,0.088,0.0,0.088,0.3,0.512,0.0,0.512
motive_8,0.512,0.3,0.088,0.0,0.088,0.3,0.512,0.0
